Epoch,Train_Loss,Train_PSNR,Val_PSNR,Val_SSIM,Learning_Rate
1,0.139940,17.4998,22.7827,0.5975,0.00099997
2,0.051882,22.6679,23.7346,0.5470,0.00099989
3,0.050474,23.2545,24.4953,0.6291,0.00099975
4,0.048448,23.6903,24.0766,0.6447,0.00099956
5,0.045842,24.0926,25.1099,0.6713,0.00099931
6,0.041409,24.7844,25.1024,0.7437,0.00099901
7,0.047156,24.0299,25.2218,0.6862,0.00099866
8,0.050158,23.7471,25.1338,0.6884,0.00099825
9,0.041669,24.7287,25.5784,0.7427,0.00099778
10,0.048533,23.8226,25.7709,0.7255,0.00099726
11,0.041666,24.6842,25.1462,0.7428,0.00099669
12,0.041135,24.7942,25.2583,0.7639,0.00099606
13,0.042595,24.6427,26.0355,0.7593,0.00099537
14,0.039383,25.1224,26.0146,0.7704,0.00099464
15,0.039811,25.0657,25.2854,0.7141,0.00099384
16,0.040936,24.8811,26.2911,0.7681,0.00099300
17,0.038832,25.1534,25.5833,0.7656,0.00099210
18,0.040139,24.9438,26.2269,0.7560,0.00099114
19,0.040051,25.0344,25.7332,0.7674,0.00099014
20,0.041348,24.9243,25.7676,0.7605,0.00098907
21,0.039443,25.0443,26.0365,0.7515,0.00098796
22,0.039776,24.9810,26.1476,0.7622,0.00098679
23,0.038366,25.3347,26.1151,0.7674,0.00098557
24,0.039610,25.1000,25.3230,0.7700,0.00098429
25,0.041179,24.8878,24.9215,0.7452,0.00098296
26,0.040978,24.9020,26.2194,0.7496,0.00098158
27,0.037951,25.3083,25.9724,0.7749,0.00098015
28,0.039661,25.1070,26.1510,0.7756,0.00097866
29,0.037643,25.4014,26.5332,0.7848,0.00097712
30,0.039037,25.1619,25.8786,0.7824,0.00097553
31,0.039526,25.2069,26.0768,0.7810,0.00097388
32,0.039545,25.2046,25.0219,0.7675,0.00097219
33,0.039567,25.0768,26.1149,0.7731,0.00097044
34,0.040386,25.0803,26.1399,0.7713,0.00096864
35,0.038708,25.3167,26.2410,0.7789,0.00096679
36,0.037074,25.5462,26.0876,0.7837,0.00096489
37,0.039281,25.2102,25.0346,0.7768,0.00096294
38,0.038455,25.3134,26.4666,0.7888,0.00096093
39,0.036381,25.5839,26.6498,0.7882,0.00095888
40,0.038048,25.3182,26.2091,0.7867,0.00095677
41,0.038856,25.1932,26.3820,0.7755,0.00095462
42,0.037107,25.5816,26.4243,0.7860,0.00095241
43,0.036947,25.4800,25.9961,0.7884,0.00095016
44,0.036250,25.5797,26.4674,0.7911,0.00094786
45,0.035572,25.7469,26.4348,0.7892,0.00094550
46,0.036808,25.6303,26.2303,0.7868,0.00094310
47,0.037097,25.5064,25.3764,0.7782,0.00094065
48,0.038694,25.3727,26.2106,0.7862,0.00093815
49,0.036484,25.5439,26.5798,0.7894,0.00093561
50,0.037288,25.4794,26.6846,0.7919,0.00093301
51,0.036464,25.5409,26.1998,0.7893,0.00093037
52,0.035830,25.6569,26.6069,0.7917,0.00092768
53,0.039386,25.2048,25.7522,0.7630,0.00092495
54,2.694357,1.1109,12.7439,0.3188,0.00092216
55,0.081812,20.1848,23.9254,0.7357,0.00091934
56,0.045129,23.7745,25.3273,0.7676,0.00091646
57,0.042364,24.3618,25.3113,0.7695,0.00091354
58,0.040920,24.6749,25.4682,0.7718,0.00091057
59,0.040040,24.8126,25.8052,0.7736,0.00090756
60,0.041932,24.6180,25.9196,0.7734,0.00090451
61,0.039523,25.0052,25.8010,0.7737,0.00090141
